direction	ontology	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
up	BP	GO:0045104	intermediate filament cytoskeleton organization	35/2405	91/15715	0.384615384615385	2.51319366703982	6.15362437836466	6.12636102847773e-08	6.95993728679051e-06	6.40016105934986e-06	FAM83H/EVPL/KRT19/KRT18/KRT37/KRT75/BFSP2/KRT31/INA/KRT2/NEFH/KRT3/KRT86/KRT10/EPPK1/KRT20/NEFL/KRT81/SHH/KRT35/TCHH/KRT34/KRT73/KRT1/KRT78/KRT24/KRT85/KRT38/KRT33A/KRT72/KRT16/KRT83/KRT33B/KRT6A/KRT79	35
up	BP	GO:0033045	regulation of sister chromatid segregation	39/2405	107/15715	0.364485981308411	2.38166203586764	6.09581772286583	6.14989634706159e-08	6.95993728679051e-06	6.40016105934986e-06	UBE2C/NUF2/SPC25/CDK1/PLK1/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/RMI2/TACC3/ESPL1/CENPE/TTK/TRIP13/MAD2L1/CDC6/SPC24/ZWILCH/HASPIN/BUB3/MAPK15/GEN1/KNTC1/ANAPC11/RAD21/DPF1/TEX14/ACTL6B	39
up	BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	36/2405	95/15715	0.378947368421053	2.47615712878871	6.13431061636186	6.23238321265754e-08	6.95993728679051e-06	6.40016105934986e-06	UBE2C/NUF2/SPC25/PLK1/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/ESPL1/CENPE/TTK/TRIP13/MAD2L1/CDC6/SPC24/ZWILCH/HASPIN/BUB3/MAPK15/GEN1/KNTC1/ANAPC11/RAD21/DPF1/TEX14/ACTL6B	36
up	BP	GO:0044784	metaphase/anaphase transition of cell cycle	37/2405	99/15715	0.373737373737374	2.44211344211344	6.11848654231609	6.26695651797587e-08	6.95993728679051e-06	6.40016105934986e-06	UBE2C/NUF2/SPC25/PLK1/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/TACC3/ESPL1/CENPE/TTK/TRIP13/MAD2L1/CDC6/SPC24/ZWILCH/HASPIN/BUB3/MAPK15/GEN1/KNTC1/ANAPC11/RAD21/DPF1/TEX14/ACTL6B	37
up	BP	GO:0071168	protein localization to chromatin	27/2405	61/15715	0.442622950819672	2.89223271190484	6.29417314784742	6.4349982744833e-08	7.01171981795114e-06	6.44777880730253e-06	PLK1/EZH2/ESCO2/MACROH2A1/PARP1/CENPA/TONSL/H4C9/LRWD1/H4C14/H4C5/LEF1/H2BC11/H4C12/H4C8/H4C15/H4C4/H4C11/H2AC8/RAD21/H1-5/H4C3/H4C16/ESR1/H2AC4/H4C2/H4C1	27
up	BP	GO:0000075	cell cycle checkpoint signaling	57/2405	185/15715	0.308108108108108	2.01327189975839	5.89302145485539	7.07478625484071e-08	7.45515083888011e-06	6.85554540572343e-06	NUF2/SPC25/CDK1/PLK1/DTL/CENPF/BUB1/CCNB1/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/RAD51/CDC45/E2F1/TTK/CLSPN/TRIP13/MAD2L1/CDC6/TIMELESS/H2AX/CDT1/INTS7/SPC24/ORC1/BRIP1/BLM/DNA2/EME1/ZWILCH/FANCD2/HASPIN/WDR76/BUB3/CHEK1/BRCA2/BARD1/GEN1/BRSK2/TICRR/KNTC1/TELO2/HORMAD1/CAMSAP3/BRCA1/IER3/CCND1/BRSK1/TEX14/HUS1B	57
up	BP	GO:0051783	regulation of nuclear division	47/2405	141/15715	0.333333333333333	2.17810117810118	5.97315725374347	7.1001436560763e-08	7.45515083888011e-06	6.85554540572343e-06	NEK2/PKMYT1/UBE2C/NUF2/SPC25/NUSAP1/PLK1/CDC25C/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/AURKA/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/MKI67/ESPL1/TTK/TRIP13/MAD2L1/CDCA2/RAD51AP1/SPC24/FBXO43/ZWILCH/HASPIN/BUB3/CALR/CHEK1/RCC1/GEN1/KNTC1/ANAPC11/HORMAD1/RAD21/TEX14/STRA8/DMRT1/EPGN	47
up	BP	GO:0045103	intermediate filament-based process	35/2405	92/15715	0.380434782608696	2.485876344572	6.07583894103969	8.4443858427362e-08	8.70827290032171e-06	8.00788093545191e-06	FAM83H/EVPL/KRT19/KRT18/KRT37/KRT75/BFSP2/KRT31/INA/KRT2/NEFH/KRT3/KRT86/KRT10/EPPK1/KRT20/NEFL/KRT81/SHH/KRT35/TCHH/KRT34/KRT73/KRT1/KRT78/KRT24/KRT85/KRT38/KRT33A/KRT72/KRT16/KRT83/KRT33B/KRT6A/KRT79	35
up	BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	36/2405	97/15715	0.371134020618557	2.42510234262812	5.98454447566587	1.15625724128238e-07	1.15136316540768e-05	1.05876093314773e-05	UBE2C/NUF2/SPC25/PLK1/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/TACC3/ESPL1/CENPE/TTK/TRIP13/MAD2L1/CDC6/SPC24/ZWILCH/HASPIN/BUB3/GEN1/KNTC1/ANAPC11/RAD21/DPF1/TEX14/ACTL6B	36
up	BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	35/2405	93/15715	0.376344086021505	2.45914649140456	5.99907014139837	1.15634742153499e-07	1.15136316540768e-05	1.05876093314773e-05	UBE2C/NUF2/SPC25/PLK1/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/ESPL1/CENPE/TTK/TRIP13/MAD2L1/CDC6/SPC24/ZWILCH/HASPIN/BUB3/GEN1/KNTC1/ANAPC11/RAD21/DPF1/TEX14/ACTL6B	35
