gene_id	module
ENSG00000158715.5	turquoise
ENSG00000117280.12	turquoise
ENSG00000276600.4	turquoise
ENSG00000263961.6	brown
ENSG00000266094.7	brown
ENSG00000162891.10	turquoise
ENSG00000162894.11	brown
ENSG00000162896.5	brown
ENSG00000182795.12	turquoise
ENSG00000180667.10	red
ENSG00000123836.14	red
ENSG00000196352.14	blue
ENSG00000117322.17	brown
ENSG00000117335.19	turquoise
ENSG00000174059.16	black
ENSG00000076356.6	blue
ENSG00000196878.14	turquoise
ENSG00000123689.5	purple
ENSG00000009790.14	brown
ENSG00000117595.10	brown
ENSG00000082497.11	grey
ENSG00000054392.12	turquoise
ENSG00000143473.12	turquoise
ENSG00000082512.14	turquoise
ENSG00000170385.9	turquoise
ENSG00000117650.12	turquoise
ENSG00000143476.17	turquoise
ENSG00000117691.9	salmon
ENSG00000162772.16	black
ENSG00000143494.15	turquoise
ENSG00000152104.11	turquoise
ENSG00000117724.12	turquoise
ENSG00000082482.13	grey
ENSG00000136636.12	turquoise
ENSG00000196482.16	grey
ENSG00000092969.11	blue
ENSG00000116141.15	grey
ENSG00000162817.6	grey
ENSG00000117791.15	turquoise
ENSG00000186205.12	grey
ENSG00000143507.17	blue
ENSG00000143512.12	grey
ENSG00000143502.14	grey
ENSG00000203697.11	turquoise
ENSG00000162909.17	grey
ENSG00000143514.16	turquoise
ENSG00000143753.12	grey
ENSG00000143815.14	turquoise
ENSG00000154380.17	turquoise
ENSG00000143819.12	grey
ENSG00000143768.12	grey
ENSG00000203685.9	grey
ENSG00000143776.18	salmon
ENSG00000143816.7	grey
ENSG00000162910.18	salmon
ENSG00000143774.16	salmon
ENSG00000154358.20	grey
ENSG00000162931.11	grey
ENSG00000181218.5	grey
ENSG00000196890.4	grey
ENSG00000116574.5	black
ENSG00000143632.14	grey
ENSG00000177614.10	turquoise
ENSG00000135744.7	grey
ENSG00000135773.12	turquoise
ENSG00000119280.16	turquoise
ENSG00000182118.7	brown
ENSG00000116991.10	grey
ENSG00000143674.10	turquoise
ENSG00000135750.14	turquoise
ENSG00000183780.12	turquoise
ENSG00000168243.10	greenyellow
ENSG00000143669.13	salmon
ENSG00000116962.14	blue
ENSG00000077585.13	blue
ENSG00000086619.13	turquoise
ENSG00000186197.13	grey
ENSG00000077522.12	grey
ENSG00000198626.15	grey
ENSG00000133019.11	turquoise
ENSG00000117009.11	turquoise
ENSG00000203668.2	turquoise
ENSG00000054277.13	turquoise
ENSG00000174371.16	turquoise
ENSG00000117020.16	blue
ENSG00000179456.10	grey
ENSG00000162849.15	blue
ENSG00000185420.18	grey
ENSG00000143653.9	turquoise
ENSG00000197472.14	turquoise
