gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000104974.11	LILRA1	35.0410984797913	-0.351330756592968	0.0955347392984721	0.000213788884923216	0.000313847406616198
ENSG00000148248.13	SURF4	9525.93187609984	0.17104812460619	0.0436116048854498	0.000213785904422004	0.000313847406616198
ENSG00000198780.11	FAM169A	256.114833925715	0.454000202725522	0.124215411036009	0.00021390683329105	0.00031399517210177
ENSG00000046647.13	GEMIN8	680.850230606602	0.206181034706616	0.0557019648240657	0.000214353566897764	0.000314625500584399
ENSG00000161551.14	ZNF577	401.502028062053	-0.310981615120715	0.0844044350141901	0.000214779086247209	0.000315224591664793
ENSG00000164162.12	ANAPC10	335.074050290257	-0.146257991601002	0.0398365812047059	0.000214863675968448	0.000315323254524778
ENSG00000157978.11	LDLRAP1	1561.9421211543	0.207416530900274	0.0556114388405093	0.000215322800077854	0.000315971505076263
ENSG00000265118.5	CTD-2370N5.3	359.288577026371	0.389138920352807	0.106006392506514	0.000216154356834688	0.000317166126174082
ENSG00000140553.17	UNC45A	3647.47609122766	0.188533474382472	0.0496053535093206	0.000217471168969761	0.000319072518273506
ENSG00000184786.5	TCTE3	79.9605393972917	0.293106818597489	0.0796286012476198	0.000217821984537065	0.000319561411911127
ENSG00000163631.16	ALB	717.668568543358	-0.119679314884842	0.280117648865902	0.000218091399881283	0.0003199308158866
ENSG00000134419.15	RPS15A	15835.4491859167	-0.218454440103748	0.0592513167386252	0.000218235542503531	0.000320116405265298
ENSG00000137574.10	TGS1	1136.17014975172	0.224583721795796	0.0609638423773529	0.000218741780782755	0.000320833057791055
ENSG00000172939.8	OXSR1	2043.30424013242	-0.15907614560816	0.0433433760590254	0.000219252397184434	0.000321556015513686
ENSG00000067141.16	NEO1	2944.19310399785	-0.292046975529319	0.0795649519069946	0.000219316611455519	0.000321624215054863
ENSG00000134748.12	PRPF38A	1862.58775302713	-0.153122666181323	0.0416710427140641	0.000220012565496305	0.000322618764780902
ENSG00000178217.13	SH2D4B	3.77348675568663	0.433693140289757	0.0806296459568821	0.000220075423127338	0.000322684878322529
ENSG00000164485.14	IL22RA2	36.1970963941538	-0.913411143838756	0.256448990131084	0.000220344756697019	0.000323053701421434
ENSG00000181626.11	ANKRD62	2.4766769617775	0.870010086342637	0.247531149954632	0.000221725692728162	0.000325052085302597
ENSG00000196935.8	SRGAP1	1031.32754853859	0.315712118721563	0.0859889600592069	0.000221817800797249	0.000325160864363966
ENSG00000166426.7	CRABP1	1187.14036208171	1.20615909325613	0.294266973058401	0.000221988704231496	0.000325385122008032
ENSG00000272410.5	RP11-438J1.1	1454.26575977735	0.189466692561516	0.0513626893125182	0.000222045587500983	0.000325442229222927
ENSG00000159714.10	ZDHHC1	424.067359193675	-0.268204966702117	0.0729582800528843	0.000222639507493022	0.000326286374258135
ENSG00000088930.7	XRN2	4299.3750696907	0.180842982181614	0.0476534142487527	0.000222934245248668	0.000326691955873239
ENSG00000196233.12	LCOR	1884.39808902603	0.216925664359691	0.0588507356868954	0.000223461272388574	0.000327437845709468
ENSG00000149050.9	ZNF214	98.9615275203213	-0.471788541886469	0.129260436510066	0.00022371384048068	0.000327781482728006
ENSG00000155330.9	C16orf87	314.475927171577	0.248947594327439	0.0677146758799464	0.000224020778477495	0.000328204719670353
ENSG00000173120.14	KDM2A	6391.94681269198	0.200200409580237	0.0541322402826062	0.0002251031678677	0.000329763882383356
ENSG00000162775.14	RBM15	405.948836838977	0.174370268867538	0.0473011916961376	0.000226132895302028	0.000331245652863362
ENSG00000138663.8	COPS4	1434.93864680932	-0.152217516781757	0.0413453193708026	0.000226496560297971	0.000331751596506458
ENSG00000120457.11	KCNJ5	222.806267075311	-0.378278435696908	0.1036556115186	0.000226533537029609	0.000331778993820265
ENSG00000136688.10	IL36G	2.04359201547289	1.64603058005571	0.349183351377601	0.00022696934067378	0.000332390457936486
ENSG00000060656.19	PTPRU	1606.0201786059	0.411219671044671	0.112552434576762	0.000227000148287544	0.000332408765532679
ENSG00000154743.17	TSEN2	373.47160987022	0.178426633950454	0.0483133749794769	0.000228056423328273	0.000333928597273993
ENSG00000161955.16	TNFSF13	1683.54378020761	0.263118765946105	0.0713529980724731	0.000229407445247816	0.000335879728334933
ENSG00000138759.18	FRAS1	339.241488788205	-0.562753621403055	0.155663167069954	0.000229976356006996	0.000336685533530197
ENSG00000171135.13	JAGN1	1422.13809444107	0.200887778293436	0.0545694576891147	0.000230405495526602	0.000337286600110612
ENSG00000010671.15	BTK	319.228399872443	0.344031531617346	0.0940830811142103	0.000231240633141014	0.000338481855427209
ENSG00000112486.15	CCR6	154.600121594044	0.616302517908548	0.152293652546062	0.000231799755342916	0.000339272929027621
ENSG00000279068.1	CH17-140K24.5	35.8417255459647	-0.47583627385963	0.130705259329403	0.000232871027067359	0.000340813420608455
ENSG00000221994.10	ZNF630	179.773718626646	0.238476797100694	0.0649760062115936	0.000234169828307648	0.000342686633011788
ENSG00000197046.11	SIGLEC15	221.177408446792	0.674216278578147	0.189808187502314	0.000234215417299337	0.000342725727078843
ENSG00000138271.5	GPR87	87.2954171269916	-0.747522860479526	0.208709341586709	0.000236001065430957	0.000345310825632177
ENSG00000180720.7	CHRM4	9.35543488971035	1.07138876042272	0.140501148418137	0.000237876233848642	0.00034802648088177
ENSG00000196228.3	SULT1C3	13.9431824485212	-2.80093877748499	0.869744215559204	0.00023961106979469	0.000350536400687397
ENSG00000172020.12	GAP43	18.4234154971506	-0.535322581449411	0.148046843072895	0.000240251188059619	0.000351444539820073
ENSG00000213218.10	CSH2	0.933192134599963	4.39203398092697	0.694050784449102	0.000240271933061727	0.000351446573266862
ENSG00000255152.8	MSH5-SAPCD1	365.155728620633	0.300532255096324	0.0818101907305051	0.000241171680378278	0.000352734222497686
ENSG00000117519.15	CNN3	7143.73805640527	-0.282817332788917	0.077623989419811	0.000241249276538935	0.000352819294732119
ENSG00000137252.9	HCRTR2	3.81603918158576	2.11055796184967	0.410643754100896	0.000241406640795876	0.00035302100213993
ENSG00000186130.4	ZBTB6	676.476923765494	0.211553688879242	0.0577608900599393	0.000241891543334375	0.000353701614097727
ENSG00000140455.16	USP3	1541.22802187239	0.163931057297764	0.0447101421825324	0.000242987664351148	0.000355275787848309
ENSG00000119616.11	FCF1	1376.1153510184	-0.145132724690328	0.0397263421224868	0.000243202456928691	0.000355561208769015
ENSG00000169035.11	KLK7	432.172471139849	-0.706747782119731	0.273478572681308	0.000243934013523513	0.000356602030235886
ENSG00000174125.7	TLR1	366.142393668265	-0.350992989200724	0.0963405971624325	0.000244013269662221	0.00035668917650351
ENSG00000184743.12	ATL3	4882.18582016248	-0.190578034415832	0.0524747924383104	0.000244044687956563	0.000356706386856256
ENSG00000176024.17	ZNF613	340.504480250373	0.276059717761306	0.0756372578754438	0.000245193087179608	0.000358327249658538
ENSG00000065029.14	ZNF76	1222.32199443494	0.186694288072795	0.050440520526287	0.000245187534014864	0.000358327249658538
ENSG00000122733.12	PHF24	38.426986686358	-0.718835544894291	0.200924803634143	0.000245515011772165	0.000358768838222998
ENSG00000260371.1	RP11-343C2.9	192.216490734066	-0.167862541608484	0.0461946523375318	0.000247338196780077	0.000361403957281133
ENSG00000125462.16	C1orf61	22.0299578844841	-0.500302065515079	0.18108284966865	0.000247421555125797	0.000361496668649359
ENSG00000100030.14	MAPK1	5067.49346599712	-0.179463396354214	0.0495757810895644	0.00024801210142229	0.000362330335314663
ENSG00000214046.8	SMIM7	2626.60168497074	0.162053880118205	0.0440647960404877	0.000248352217466159	0.000362798034171401
ENSG00000234284.6	ZNF879	154.918105502746	-0.301104120562137	0.0828387325086009	0.000248510382811953	0.000362999881835688
ENSG00000145545.11	SRD5A1	920.257340767496	0.421683776915835	0.11576258514799	0.000250010063878467	0.00036516109555222
ENSG00000188779.10	SKOR1	14.8827099835041	-0.397468290606291	0.109382141113846	0.000250151132697921	0.000365337751751698
ENSG00000163666.8	HESX1	34.54397170318	0.279165592780867	0.0765567244438351	0.000252011909695952	0.000368025756495022
ENSG00000126821.7	SGPP1	644.979712751295	-0.337158036530997	0.0928516051281623	0.000252119015939962	0.000368152560630305
ENSG00000204444.10	APOM	176.16998010772	-0.168844665228577	0.0463318281734458	0.000252490450052761	0.000368665293668224
ENSG00000168658.18	VWA3B	16.6226772274883	0.618042603132032	0.173983695856806	0.000252591199583131	0.000368782745198239
ENSG00000105374.9	NKG7	262.059170858462	0.552423696925353	0.153787691402081	0.000253334715286348	0.000369838539971821
ENSG00000184599.13	FAM19A3	32.9482287240736	0.972690547187994	0.218770765589072	0.00025337330668775	0.000369865142120441
ENSG00000212710.4	CTAGE1	37.0657138122366	0.282367340929484	0.0775395254407271	0.000253674058442567	0.000370274401382647
ENSG00000078114.18	NEBL	4919.11806433422	0.347130684729664	0.0930111439333116	0.000254039997116986	0.000370778737050898
ENSG00000197302.10	ZNF720	690.493470354126	0.204443355865976	0.0560853148664532	0.00025571966489794	0.000373200263238771
ENSG00000106992.17	AK1	1101.20624869616	-0.0368765314982302	0.0739557207089753	0.000256276530415473	0.000373982901172077
ENSG00000160131.13	VMA21	1832.20141408116	0.16612864793072	0.045297805679099	0.000258871820207993	0.000377739835369393
ENSG00000235376.5	RPEL1	67.4905111126672	0.217166016754419	0.0596101369954531	0.00025915819766823	0.000378127324488527
ENSG00000198265.11	HELZ	2494.52834901275	-0.239709330638393	0.0661656241116561	0.000260113793615244	0.000379491102721003
ENSG00000154310.16	TNIK	926.734329258198	0.470903310877396	0.130640439591804	0.000260331948361951	0.000379778863851234
ENSG00000140859.15	KIFC3	677.072164056327	-0.337269960691965	0.0933253936879014	0.000260509318951763	0.000380007086562188
ENSG00000124713.5	GNMT	91.3242695947253	0.783413792217974	0.1734496462139	0.000261544544394907	0.000381486532020461
ENSG00000113583.7	C5orf15	2937.88355126027	0.169508291482818	0.0465004420394959	0.000262051594128007	0.000382195409331434
ENSG00000253710.2	ALG11	689.508875851562	-0.269157640599938	0.0741252549152465	0.000262608349430468	0.000382976661228691
ENSG00000204310.12	AGPAT1	3251.90676515395	0.15501776820545	0.0422584666289326	0.000262636364181362	0.000382986757212108
ENSG00000090060.17	PAPOLA	7111.75224924992	0.154015152970945	0.0421315519705112	0.000263714159197331	0.000384527559841415
ENSG00000260836.1	RP11-152F13.10	5692.75921710608	-0.240434706729584	0.0672259062735881	0.000264184394879706	0.000385182290206014
